읍면동,오름명,소재지,위도,경도,주차장,화장실,표고(m),데이터기준일자
대정읍,송악산(절울이),제주특별자치도 서귀포시 대정읍 상모리 산 2,33.1994088,126.2907797,Y,Y,104,2022-05-10
대정읍,섯알오름,제주특별자치도 서귀포시 대정읍 상모리 1618,33.2042537,126.281676,Y,Y,40.7,2022-05-10
대정읍,가시오름 ,제주특별자치도 서귀포시 대정읍 동일리 1209,33.2533626,126.2490546,Y,N,106.5,2022-05-10
대정읍,녹남봉,제주특별자치도 서귀포시 대정읍 신도리 1304,33.2798153,126.1954827,N,N,100.4,2022-05-10
남원읍,물영아리,제주특별자치도 서귀포시 남원읍 수망리 산 189,33.3708091,126.6935196,Y,N,508,2022-05-10
남원읍,머체오름,제주특별자치도 서귀포시 남원읍 한남리 산 2-1,33.342895,126.6494133,Y,Y,425.8,2022-05-10
남원읍,이승이,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,33.342895,126.6494133,Y,Y,539,2022-05-10
남원읍,사려니오름,제주특별자치도 서귀포시 남원읍 한남리 산 2-1,33.342895,126.6494133,N,N,523,2022-05-10
남원읍,민오름,제주특별자치도 서귀포시 남원읍 수망리 158,33.3508829,126.6980129,Y,N,446.8,2022-05-10
남원읍,운지오름,제주특별자치도 서귀포시 남원읍 남원2리 760-2,33.320538,126.7451549,N,N,113.5,2022-05-10
남원읍,자배봉,제주특별자치도 서귀포시 남원읍 위미리 산 143,33.342895,126.6494133,Y,Y,211.3,2022-05-10
남원읍,생길이,제주특별자치도 서귀포시 남원읍 위미리 산 34,33.342895,126.6494133,N,N,260,2022-05-10
남원읍,큰걸세,제주특별자치도 서귀포시 남원읍 하례리 산 124,33.3616666,126.5291666,Y,Y,158,2022-05-10
남원읍,족은걸세,제주특별자치도 서귀포시 남원읍 하례리 산 124,33.3616666,126.5291666,N,N,150,2022-05-10
남원읍,수악,제주특별자치도 서귀포시 남원읍 하례리 산 10,33.3616666,126.5291666,N,N,474.3,2022-05-10
남원읍,한남리머체왓숲길,제주특별자치도 서귀포시 남원읍 한남리 1622-3,33.3305697,126.6740675,Y,Y,0,2022-05-10
성산읍,일출봉,제주특별자치도 서귀포시 성산읍 성산리 1,33.4584473,126.9425348,Y,Y,179,2022-05-10
성산읍,멀미오름,제주특별자치도 서귀포시 성산읍 시흥리 산 1-5,33.4786495,126.8840616,Y,Y,145.9,2022-05-10
성산읍,멀미알오름,제주특별자치도 서귀포시 성산읍 시흥리 산 1-5,33.4786495,126.8840616,N,N,126.5,2022-05-10
성산읍,식산봉(바우오름),제주특별자치도 서귀포시 성산읍 오조리 313,33.4656758,126.9196473,Y,N,60.2,2022-05-10
성산읍,큰물메(대왕수봉),제주특별자치도 서귀포시 성산읍 고성리 2039,33.4398545,126.8991383,Y,Y,137.3,2022-05-10
성산읍,궁대악,제주특별자치도 서귀포시 성산읍 수산리 4711,33.4349078,126.8170896,N,N,238.8,2022-05-10
성산읍,뒤꾸부니,제주특별자치도 서귀포시 성산읍 수산리 4504,33.4310244,126.8273298,N,N,206.2,2022-05-10
성산읍,모구리오름,제주특별자치도 서귀포시 성산읍 난산리 2960-1,33.4080291,126.8271111,Y,Y,232,2022-05-10
성산읍,유건에오름,제주특별자치도 서귀포시 성산읍 난산리 2302,33.4135945,126.8467892,N,N,190.2,2022-05-10
성산읍,통오름,제주특별자치도 서귀포시 성산읍 난산리 1976,33.3944955,126.8567401,N,N,143.1,2022-05-10
성산읍,독자봉,제주특별자치도 서귀포시 성산읍 신산리 1785,33.3877114,126.8541774,Y,Y,159.3,2022-05-10
성산읍,남산봉,제주특별자치도 서귀포시 성산읍 신풍리 1675-21,33.3860915,126.8081632,N,N,178.8,2022-05-10
성산읍,낭끼오름,제주특별자치도 서귀포시 성산읍 수산리 3954,33.4355716,126.842924,N,N,185.1,2022-05-10
성산읍,모구리알오름,제주특별자치도 서귀포시 성산읍 난산리 2960-1,33.4080291,126.8271111,Y,Y,202.6,2022-05-10
성산읍,대왕산,제주특별자치도 서귀포시 성산읍 수산리 1431,33.456482,126.8727771,N,N,157.6,2022-05-10
안덕면,군산,제주특별자치도 서귀포시 안덕면 창천리 564,33.2551426,126.3683605,Y,N,334.5,2022-05-10
안덕면,단산(바굼지오름),제주특별자치도 서귀포시 안덕면 사계리 2,33.2469709,126.3206311,Y,N,158,2022-05-10
안덕면,월라봉(다래오름),제주특별자치도 서귀포시 안덕면 감산리 1148,33.2442794,126.3499008,Y,N,200.7,2022-05-10
안덕면,대병악(여진머리),제주특별자치도 서귀포시 안덕면 상창리 산 2-1,33.3066236,126.3704559,N,N,491.9,2022-05-10
안덕면,북오름,제주특별자치도 서귀포시 안덕면 동광리 산 93,33.3056468,126.3313681,N,N,314.3,2022-05-10
안덕면,남송악(남소로기),제주특별자치도 서귀포시 안덕면 서광리 산 33,33.3050158,126.3046682,Y,N,339,2022-05-10
안덕면,광해악(넙게오름),제주특별자치도 서귀포시 안덕면 서광리 943,33.2871076,126.3162332,N,N,246.5,2022-05-10
안덕면,논오름,제주특별자치도 서귀포시 안덕면 화순리 12,33.2666345,126.3408035,Y,N,186,2022-05-10
안덕면,금산,제주특별자치도 서귀포시 안덕면 사계리 3153-2,33.2360818,126.2870485,N,N,63.5,2022-05-10
안덕면,용머리,제주특별자치도 서귀포시 안덕면 사계리 112-1,33.2340447,126.3141969,Y,Y,48.5,2022-05-10
안덕면,왕이메,제주특별자치도 서귀포시 안덕면 광평리 산 79,33.340233,126.374785,N,N,613.4,2022-05-10
표선면,따라비오름,제주특별자치도 서귀포시 표선면 가시리 산 62,33.3708091,126.6935196,Y,Y,342,2022-05-10
표선면,대록산(큰사슴이),제주특별자치도 서귀포시 표선면 가시리 산 68,33.3708091,126.6935196,N,Y,474.5,2022-05-10
표선면,달산봉,제주특별자치도 서귀포시 표선면 하천리 1043,33.3485734,126.8327895,N,N,136.5,2022-05-10
표선면,제석오름,제주특별자치도 서귀포시 표선면 하천리 429-1,33.3470334,126.836251,N,N,87.5,2022-05-10
표선면,매봉,제주특별자치도 서귀포시 표선면 표선리 2457,33.3225332,126.8228665,N,N,136.7,2022-05-10
표선면,영주산,제주특별자치도 서귀포시 표선면 성읍리 산 18,33.4048901,126.7976481,N,N,326.4,2022-05-10
표선면,좌보미,제주특별자치도 서귀포시 표선면 성읍리 산 6,33.4377473,126.7917034,N,N,342,2022-05-10
표선면,백약이오름,제주특별자치도 서귀포시 표선면 성읍리 산 1,33.4377473,126.7917034,Y,N,356.9,2022-05-10
표선면,갑선이,제주특별자치도 서귀포시 표선면 가시리 산 2-7,33.3708091,126.6935196,N,N,188.2,2022-05-10
표선면,가세오름,제주특별자치도 서귀포시 표선면 토산리 산 2,33.3314602,126.7815087,N,N,200.5,2022-05-10
표선면,토산봉,제주특별자치도 서귀포시 표선면 토산리 산 13,33.3223939,126.7735897,N,Y,175.4,2022-05-10
표선면,붉은오름,제주특별자치도 서귀포시 표선면 가시리 산 158,33.3708091,126.6935196,Y,Y,569,2022-05-10
표선면,개오름,제주특별자치도 서귀포시 표선면 성읍리 2974,33.3863435,126.7997102,N,N,344.7,2022-05-10
표선면,갑마장길,제주특별자치도 서귀포시 표선면 가시리 산 68,33.3708091,126.6935196,Y,Y,0,2022-05-10
효돈동,제지오름(절오름),제주특별자치도 서귀포시 보목동 275-1,33.240809,126.6101421,Y,Y,94.8,2022-05-10
효돈동,월라산(도라미),제주특별자치도 서귀포시 신효동 산 1,33.2705143,126.6046518,Y,Y,117.8,2022-05-10
영천동,칡오름,제주특별자치도 서귀포시 상효동 산 193,33.3616666,126.5291666,N,N,271,2022-05-10
영천동,영천오름,제주특별자치도 서귀포시 상효동 산 123,33.3616666,126.5291666,Y,N,227,2022-05-10
동홍동,미악산(솔오름),제주특별자치도 서귀포시 동홍동 산 7,33.3017594,126.5573394,Y,Y,567.5,2022-05-10
서홍동,삼매봉,제주특별자치도 서귀포시 서홍동 809-1,33.2539385,126.5595922,Y,Y,153.6,2022-05-10
서홍동,하논-보로미,제주특별자치도 서귀포시 호근동 149,33.2537823,126.5422628,Y,N,143.4,2022-05-10
서홍동,시오름,제주특별자치도 서귀포시 서홍동 산 1,33.3616666,126.5291666,N,N,757.8,2022-05-10
대륜동,고근산,제주특별자치도 서귀포시 서호동 1286-1,33.2663637,126.5123088,Y,Y,396.2,2022-05-10
중문동,거린사슴,제주특별자치도 서귀포시 대포동 산 2-1,33.3073127,126.4541266,Y,Y,742.9,2022-05-10
중문동,베릿내오름,제주특별자치도 서귀포시 중문동 3712,33.2514303,126.4348243,Y,Y,101.2,2022-05-10
중문동,법정악,제주특별자치도 서귀포시 하원동 산 1,33.2583461,126.4521002,Y,Y,760.1,2022-05-10
